row_id,state,district,season,year,yield_t_ha,split
RICE_000001,Andhra Pradesh,ANANTAPUR,Kharif,1997,2.1179775280898876,train
RICE_000002,Andhra Pradesh,ANANTAPUR,Rabi,1997,2.0722222222222224,train
RICE_000003,Andhra Pradesh,CHITTOOR,Kharif,1997,1.9952718676122931,train
RICE_000004,Andhra Pradesh,CHITTOOR,Rabi,1997,2.3937282229965158,train
RICE_000005,Andhra Pradesh,EAST GODAVARI,Kharif,1997,2.0051377860812702,train
RICE_000006,Andhra Pradesh,EAST GODAVARI,Rabi,1997,3.1832901554404147,train
RICE_000007,Andhra Pradesh,GUNTUR,Kharif,1997,2.865423728813559,train
RICE_000008,Andhra Pradesh,GUNTUR,Rabi,1997,3.5724137931034483,train
RICE_000009,Andhra Pradesh,KADAPA,Kharif,1997,1.6247379454926625,train
RICE_000010,Andhra Pradesh,KADAPA,Rabi,1997,2.1307692307692307,train
RICE_000011,Andhra Pradesh,KRISHNA,Kharif,1997,2.7119038386971694,train
RICE_000012,Andhra Pradesh,KRISHNA,Rabi,1997,3.3834909716251076,train
RICE_000013,Andhra Pradesh,KURNOOL,Kharif,1997,2.668174962292609,train
RICE_000014,Andhra Pradesh,KURNOOL,Rabi,1997,2.6555555555555554,train
RICE_000015,Andhra Pradesh,PRAKASAM,Kharif,1997,2.0048387096774194,train
RICE_000016,Andhra Pradesh,PRAKASAM,Rabi,1997,2.9932614555256065,train
RICE_000017,Andhra Pradesh,SPSR NELLORE,Kharif,1997,2.620123203285421,train
RICE_000018,Andhra Pradesh,SPSR NELLORE,Rabi,1997,2.990664470071389,train
RICE_000019,Andhra Pradesh,SRIKAKULAM,Kharif,1997,1.499730748519117,train
RICE_000020,Andhra Pradesh,SRIKAKULAM,Rabi,1997,3.5,train
RICE_000021,Andhra Pradesh,VISAKHAPATANAM,Kharif,1997,0.8336820083682008,train
RICE_000022,Andhra Pradesh,VISAKHAPATANAM,Rabi,1997,3.2222222222222223,train
RICE_000023,Andhra Pradesh,VIZIANAGARAM,Kharif,1997,1.4222222222222223,train
RICE_000024,Andhra Pradesh,VIZIANAGARAM,Rabi,1997,3.2,train
RICE_000025,Andhra Pradesh,WEST GODAVARI,Kharif,1997,2.5501618122977345,train
RICE_000026,Andhra Pradesh,WEST GODAVARI,Rabi,1997,3.502582644628099,train
RICE_000027,Arunachal Pradesh,CHANGLANG,Kharif,1997,1.2,train
RICE_000028,Arunachal Pradesh,DIBANG VALLEY,Kharif,1997,1.2027158098933075,train
RICE_000029,Arunachal Pradesh,EAST KAMENG,Kharif,1997,1.028507546115148,train
RICE_000030,Arunachal Pradesh,EAST SIANG,Kharif,1997,1.5220588235294117,train
RICE_000031,Arunachal Pradesh,LOHIT,Kharif,1997,1.3005972130059722,train
RICE_000032,Arunachal Pradesh,LOWER SUBANSIRI,Kharif,1997,0.9447398404861375,train
RICE_000033,Arunachal Pradesh,PAPUM PARE,Kharif,1997,1.2107235514557508,train
RICE_000034,Arunachal Pradesh,TAWANG,Kharif,1997,1.2096774193548387,train
RICE_000035,Arunachal Pradesh,TIRAP,Kharif,1997,0.6922357343311506,train
RICE_000036,Arunachal Pradesh,UPPER SIANG,Kharif,1997,0.9354838709677419,train
